"lon","lat","spatial_effect"
-91.2857142857143,25,0.273551546790057
-90.7899159663866,25,0.330944293428613
-90.2941176470588,25,0.388366238225216
-89.7983193277311,25,0.444386567250815
-89.3025210084034,25,0.497756221750113
-88.8067226890756,25,0.547464892880676
-88.3109243697479,25,0.592739724852963
-87.8151260504202,25,0.633005416558387
-87.3193277310924,25,0.667837719918532
-86.8235294117647,25,0.696939716066058
-86.327731092437,25,0.720151778547929
-85.8319327731092,25,0.737475890176175
-85.3361344537815,25,0.749060299342973
-84.8403361344538,25,0.75506198393115
-84.344537815126,25,0.755298578610057
-83.8487394957983,25,0.748646105785287
-83.3529411764706,25,0.732277172176708
-82.8571428571429,25,0.701104675127702
-82.3613445378151,25,0.648133505962817
-81.8655462184874,25,0.566452667281374
-81.3697478991597,25,0.452879474485581
-80.8739495798319,25,0.313045973085435
-80.3781512605042,25,0.1621825680216
-79.8823529411765,25,0.0153335903087201
-79.3865546218487,25,-0.124376541063858
-78.890756302521,25,-0.25849855740798
-78.3949579831933,25,-0.388766033579964
-77.8991596638655,25,-0.516783199879542
-77.4033613445378,25,-0.643842052459812
-76.9075630252101,25,-0.770877276682251
-76.4117647058823,25,-0.898503057168864
-75.9159663865546,25,-1.02707207722897
-75.4201680672269,25,-1.15673253757265
-74.9243697478992,25,-1.28747734031487
-74.4285714285714,25,-1.41918534796838
-73.9327731092437,25,-1.55165575581993
-73.436974789916,25,-1.68463654293857
-72.9411764705882,25,-1.81784770534052
-72.4453781512605,25,-1.95099980396829
-71.9495798319328,25,-2.08380829213675
-71.453781512605,25,-2.21600407795514
-70.9579831932773,25,-2.34734079364097
-70.4621848739496,25,-2.47759926627153
-69.9663865546218,25,-2.60658968678148
-69.4705882352941,25,-2.7341519538203
-68.9747899159664,25,-2.8601546432908
-68.4789915966387,25,-2.98449300186307
-67.9831932773109,25,-3.10708631182628
-67.4873949579832,25,-3.22787491313643
-66.9915966386555,25,-3.34681711554283
-66.4957983193277,25,-3.46388617552837
-66,25,-3.57906746661176
-125,25.3164556962025,3.66321711217521
-124.504201680672,25.3164556962025,3.52711924786415
-124.008403361345,25.3164556962025,3.38321636757123
-123.512605042017,25.3164556962025,3.23165744476694
-123.016806722689,25.3164556962025,3.07269228290046
-122.521008403361,25.3164556962025,2.90668796356167
-122.025210084034,25.3164556962025,2.73414574790087
-121.529411764706,25.3164556962025,2.55571673297238
-121.033613445378,25.3164556962025,2.37221388449004
-120.53781512605,25.3164556962025,2.18461757188048
-120.042016806723,25.3164556962025,1.99407158851171
-119.546218487395,25.3164556962025,1.80186704828099
-119.050420168067,25.3164556962025,1.60941257879102
-118.55462184874,25.3164556962025,1.41819082935077
-118.058823529412,25.3164556962025,1.22970325801404
-117.563025210084,25.3164556962025,1.04540702280888
-117.067226890756,25.3164556962025,0.866649208421424
-116.571428571429,25.3164556962025,0.694604187243103
-116.075630252101,25.3164556962025,0.530219593290137
-115.579831932773,25.3164556962025,0.374175377418328
-115.084033613445,25.3164556962025,0.226859161059279
-114.588235294118,25.3164556962025,0.08836008971625
-114.09243697479,25.3164556962025,-0.0415171093410938
-113.596638655462,25.3164556962025,-0.163216296103602
-113.100840336134,25.3164556962025,-0.277371050144666
-112.605042016807,25.3164556962025,-0.384722781084534
-112.109243697479,25.3164556962025,-0.486018708385549
-111.613445378151,25.3164556962025,-0.58189710322123
-111.117647058824,25.3164556962025,-0.672772468053252
-110.621848739496,25.3164556962025,-0.758737767785123
-110.126050420168,25.3164556962025,-0.839502451526077
-109.63025210084,25.3164556962025,-0.914382356296617
-109.134453781513,25.3164556962025,-0.982350343378854
-108.638655462185,25.3164556962025,-1.04214591913783
-108.142857142857,25.3164556962025,-1.09243052524771
-107.647058823529,25.3164556962025,-1.13196549712621
-107.151260504202,25.3164556962025,-1.15978425934677
-106.655462184874,25.3164556962025,-1.17533038058013
-106.159663865546,25.3164556962025,-1.17853862431525
-105.663865546218,25.3164556962025,-1.16984583874452
-105.168067226891,25.3164556962025,-1.15013042306463
-104.672268907563,25.3164556962025,-1.12059089554527
-104.176470588235,25.3164556962025,-1.08258383953671
-103.680672268908,25.3164556962025,-1.03744823762256
-103.18487394958,25.3164556962025,-0.986346836973996
-102.689075630252,25.3164556962025,-0.930156189230474
-102.193277310924,25.3164556962025,-0.86943505818264
-101.697478991597,25.3164556962025,-0.804493715799675
-101.201680672269,25.3164556962025,-0.73556956547053
-100.705882352941,25.3164556962025,-0.663082509245772
-100.210084033613,25.3164556962025,-0.587896154497005
-99.7142857142857,25.3164556962025,-0.511458086188684
-99.218487394958,25.3164556962025,-0.435658491561995
-98.7226890756303,25.3164556962025,-0.362302953718983
-98.2268907563025,25.3164556962025,-0.292546175890588
-97.7310924369748,25.3164556962025,-0.227548821707634
-97.2352941176471,25.3164556962025,-0.169471398907907
-96.7394957983193,25.3164556962025,-0.120560882319434
-96.2436974789916,25.3164556962025,-0.0816574841827643
-95.7478991596639,25.3164556962025,-0.0513681077479593
-95.2521008403361,25.3164556962025,-0.0265539247107567
-94.7563025210084,25.3164556962025,-0.0035109720722558
-94.2605042016807,25.3164556962025,0.0210904426760692
-93.7647058823529,25.3164556962025,0.0497137630549626
-93.2689075630252,25.3164556962025,0.0838144588197659
-92.7731092436975,25.3164556962025,0.123901718745416
-92.2773109243697,25.3164556962025,0.169687335527175
-91.781512605042,25.3164556962025,0.220258590831793
-91.2857142857143,25.3164556962025,0.274257005907326
-90.7899159663866,25.3164556962025,0.330065434020779
-90.2941176470588,25.3164556962025,0.386001049790639
-89.7983193277311,25.3164556962025,0.440493820247822
-89.3025210084034,25.3164556962025,0.492217502503451
-88.8067226890756,25.3164556962025,0.540146429926208
-88.3109243697479,25.3164556962025,0.583535973786821
-87.8151260504202,25.3164556962025,0.621854426356552
-87.3193277310924,25.3164556962025,0.654712834204829
-86.8235294117647,25.3164556962025,0.681837320542766
-86.327731092437,25.3164556962025,0.703105257755813
-85.8319327731092,25.3164556962025,0.718627733439886
-85.3361344537815,25.3164556962025,0.728814131427166
-84.8403361344538,25.3164556962025,0.734310554410872
-84.344537815126,25.3164556962025,0.735678020758901
-83.8487394957983,25.3164556962025,0.732698776232386
-83.3529411764706,25.3164556962025,0.723329883631867
-82.8571428571429,25.3164556962025,0.702656888086272
-82.3613445378151,25.3164556962025,0.662770306026549
-81.8655462184874,25.3164556962025,0.594930768097789
-81.3697478991597,25.3164556962025,0.494448944661406
-80.8739495798319,25.3164556962025,0.365875490499017
-80.3781512605042,25.3164556962025,0.223131908744836
-79.8823529411765,25.3164556962025,0.0808813684249829
-79.3865546218487,25.3164556962025,-0.0557295914744482
-78.890756302521,25.3164556962025,-0.187287283367536
-78.3949579831933,25.3164556962025,-0.315446488924327
-77.8991596638655,25.3164556962025,-0.441860729198942
-77.4033613445378,25.3164556962025,-0.567825270393035
-76.9075630252101,25.3164556962025,-0.694234691575217
-76.4117647058823,25.3164556962025,-0.82164343205032
-75.9159663865546,25.3164556962025,-0.950338427929053
-75.4201680672269,25.3164556962025,-1.08040230691674
-74.9243697478992,25.3164556962025,-1.21176544994552
-74.4285714285714,25.3164556962025,-1.34424882844898
-73.9327731092437,25.3164556962025,-1.47759940291116
-73.436974789916,25.3164556962025,-1.61151926920888
-72.9411764705882,25.3164556962025,-1.74568930207731
-72.4453781512605,25.3164556962025,-1.8797878337736
-71.9495798319328,25.3164556962025,-2.01350484394458
-71.453781512605,25.3164556962025,-2.14655214625823
-70.9579831932773,25.3164556962025,-2.27867009529683
-70.4621848739496,25.3164556962025,-2.40963136214595
-69.9663865546218,25.3164556962025,-2.53924233080664
-69.4705882352941,25.3164556962025,-2.66734264760572
-68.9747899159664,25.3164556962025,-2.79380341535456
-68.4789915966387,25.3164556962025,-2.91852446161899
-67.9831932773109,25.3164556962025,-3.04143105259693
-67.4873949579832,25.3164556962025,-3.16247035407334
-66.9915966386555,25.3164556962025,-3.28160787323049
-66.4957983193277,25.3164556962025,-3.39882406024558
-66,25.3164556962025,-3.51411119192175
-125,25.6329113924051,3.65285685144183
-124.504201680672,25.6329113924051,3.51813712084811
-124.008403361345,25.6329113924051,3.37543481482011
-123.512605042017,25.6329113924051,3.22487507867249
-123.016806722689,25.6329113924051,3.06668450783471
-122.521008403361,25.6329113924051,2.90120971351458
-122.025210084034,25.6329113924051,2.7289371845415
-121.529411764706,25.6329113924051,2.55051261518976
-121.033613445378,25.6329113924051,2.36675698041336
-120.53781512605,25.6329113924051,2.17867590523357
-120.042016806723,25.6329113924051,1.98745855939157
-119.546218487395,25.6329113924051,1.79446266213476
-119.050420168067,25.6329113924051,1.60118334550213
-118.55462184874,25.6329113924051,1.40920557738206
-118.058823529412,25.6329113924051,1.22014227062853
-117.563025210084,25.6329113924051,1.03556261178289
-117.067226890756,25.6329113924051,0.856916925289655
-116.571428571429,25.6329113924051,0.685465074650898
-116.075630252101,25.6329113924051,0.522214856676454
-115.579831932773,25.6329113924051,0.367875376004287
-115.084033613445,25.6329113924051,0.222828622148162
-114.588235294118,25.6329113924051,0.0871211914932737
-114.09243697479,25.6329113924051,-0.0395223177796698
-113.596638655462,25.6329113924051,-0.157662312874306
-113.100840336134,25.6329113924051,-0.268081340482888
-112.605042016807,25.6329113924051,-0.371693911510556
-112.109243697479,25.6329113924051,-0.469430670144954
-111.613445378151,25.6329113924051,-0.562104166588532
-111.117647058824,25.6329113924051,-0.650270619348662
-110.621848739496,25.6329113924051,-0.734108507753273
-110.126050420168,25.6329113924051,-0.813337866722216
-109.63025210084,25.6329113924051,-0.887201554445281
-109.134453781513,25.6329113924051,-0.954520960668596
-108.638655462185,25.6329113924051,-1.01382513685229
-108.142857142857,25.6329113924051,-1.06353745369788
-107.647058823529,25.6329113924051,-1.10219140166331
-107.151260504202,25.6329113924051,-1.12864017725443
-106.655462184874,25.6329113924051,-1.14222477293595
-106.159663865546,25.6329113924051,-1.14287227522179
-105.663865546218,25.6329113924051,-1.13110824836421
-105.168067226891,25.6329113924051,-1.10798185429446
-104.672268907563,25.6329113924051,-1.07491667541809
-104.176470588235,25.6329113924051,-1.03351161976839
-103.680672268908,25.6329113924051,-0.985323645682666
-103.18487394958,25.6329113924051,-0.931667771026698
-102.689075630252,25.6329113924051,-0.873471267554715
-102.193277310924,25.6329113924051,-0.811218713072907
-101.697478991597,25.6329113924051,-0.745020359811476
-101.201680672269,25.6329113924051,-0.67482152037798
-100.705882352941,25.6329113924051,-0.600736307357258
-100.210084033613,25.6329113924051,-0.523431008335864
-99.7142857142857,25.6329113924051,-0.444409729115497
-99.218487394958,25.6329113924051,-0.365988178613201
-98.7226890756303,25.6329113924051,-0.290715486650149
-98.2268907563025,25.6329113924051,-0.220303867712232
-97.7310924369748,25.6329113924051,-0.156246661740292
-97.2352941176471,25.6329113924051,-0.101385484720985
-96.7394957983193,25.6329113924051,-0.0582728453647771
-96.2436974789916,25.6329113924051,-0.0274077921144007
-95.7478991596639,25.6329113924051,-0.00641619561924972
-95.2521008403361,25.6329113924051,0.0089716808587263
-94.7563025210084,25.6329113924051,0.0233009396152142
-94.2605042016807,25.6329113924051,0.04036279776922
-93.7647058823529,25.6329113924051,0.0627680024620146
-93.2689075630252,25.6329113924051,0.0919158163926628
-92.7731092436975,25.6329113924051,0.128154433934054
-92.2773109243697,25.6329113924051,0.170991973093493
-91.781512605042,25.6329113924051,0.219295898588886
-91.2857142857143,25.6329113924051,0.27147991169501
-90.7899159663866,25.6329113924051,0.325700773490483
-90.2941176470588,25.6329113924051,0.380073175852117
-89.7983193277311,25.6329113924051,0.432877810330449
-89.3025210084034,25.6329113924051,0.482714325737361
-88.8067226890756,25.6329113924051,0.528557540276473
-88.3109243697479,25.6329113924051,0.569711208486464
-87.8151260504202,25.6329113924051,0.605697898631553
