ZIP_CODE,LOG_TRANSACTION_AMT_2020,LOG_TRANSACTION_AMT_2022,lat,lon,prop_college_degree_or_higher_18plus,log_income,log_population,log_contrib_2020,log_contrib_2022,election_2020,election_2022,election_diff,state
55967,4.61512051684126,6.0063531596017325,43.79,-92.531,0.2033898305084746,11.60443753197628,6.846943139585379,4.61512051684126,6.0063531596017325,1,0,-1,MN
55972,7.785720896534624,5.860786223465865,43.9585,-92.0517,0.2860020140986908,11.501642045949742,8.568836424568076,7.785720896534624,5.860786223465865,1,0,-1,MN
55974,7.208600337960199,5.303304908059076,43.5623,-91.6368,0.2306684141546527,10.988761276765057,7.629489916393995,7.208600337960199,5.303304908059076,1,0,-1,MN
55975,6.111467339502679,7.877017895622398,43.6823,-92.368,0.1778888562187592,11.256884168342939,8.38206051742474,6.111467339502679,7.877017895622398,1,0,-1,MN
55976,6.2166061010848646,4.663439094112067,43.8555,-92.4885,0.3059900166389351,11.37744932540778,9.028578658440741,6.2166061010848646,4.663439094112067,1,0,-1,MN
55981,5.3981627015177525,5.278114659230517,44.37030000000001,-92.03609999999999,0.2290143316759286,11.178948113533144,8.293549515060345,5.3981627015177525,5.278114659230517,1,0,-1,MN
55985,8.853808274977197,8.343077871169383,44.15200000000001,-92.8825,0.2381974248927038,11.334229328391313,7.499423290592229,8.853808274977197,8.343077871169383,1,0,-1,MN
55987,11.321389586401962,10.296778859712584,44.03,-91.7009,0.2938625176413892,11.028806684032801,10.434409878001242,11.321389586401962,10.296778859712584,1,0,-1,MN
56001,10.871079578765833,10.175192670464767,44.1538,-93.996,0.2808687049512413,11.149527975270669,10.834253018164596,10.871079578765833,10.175192670464767,1,0,-1,MN
56003,8.895492631451633,6.818924065275521,44.2172,-94.0942,0.3803829824105363,11.32101407233697,9.630431332279667,8.895492631451633,6.818924065275521,1,0,-1,MN
56007,9.005895898094458,7.69484807238461,43.6537,-93.3707,0.1687814220732583,11.139627405156087,9.972733725272942,9.005895898094458,7.69484807238461,1,0,-1,MN
56011,7.689828668736484,5.3981627015177525,44.6139,-93.7604,0.2928551647743007,11.537832688676328,9.16303909885817,7.689828668736484,5.3981627015177525,1,0,-1,MN
56013,5.929589143389895,5.902633333401366,43.6394,-94.0924,0.2472495657209033,11.178193712826786,8.365905077202456,5.929589143389895,5.902633333401366,1,0,-1,MN
56017,6.2166061010848646,5.5254529391317835,44.3201,-93.8286,0.2834067547723935,11.385728254703228,7.445417556701687,6.2166061010848646,5.5254529391317835,1,0,-1,MN
56031,10.266949413163834,9.954703343920398,43.6376,-94.45099999999998,0.2523425582915667,10.912302769585875,9.402364704231523,10.266949413163834,9.954703343920398,1,0,-1,MN
56037,7.901377353792616,4.454347296253507,43.9952,-94.0677,0.250886524822695,11.274033556687879,7.370860166536716,7.901377353792616,4.454347296253507,1,0,-1,MN
56048,7.243512974665482,4.77912349311153,44.1168,-93.7095,0.2572627501613944,11.356645853909527,8.330863613224745,7.243512974665482,4.77912349311153,1,0,-1,MN
56055,7.273092595999522,6.311734809152915,44.12019999999999,-94.21840000000002,0.3143926505614154,11.418471918151077,8.272826003650401,7.273092595999522,6.311734809152915,1,0,-1,MN
56057,6.62273632394984,6.484635235635252,44.385299999999994,-93.7214,0.1733510109380178,11.421358271444738,8.28121766128665,6.62273632394984,6.484635235635252,1,0,-1,MN
56058,6.042632833682381,6.282266746896006,44.4582,-93.8856,0.2362984822934232,11.369943844991363,8.710454688248527,6.042632833682381,6.282266746896006,1,0,-1,MN
56063,6.985641817639208,3.828641396489095,44.2221,-93.8289,0.3841761827079935,11.536554097099938,7.987864096085687,6.985641817639208,3.828641396489095,1,0,-1,MN
